서점 이름,상품 번호,카테고리,책 제목,가격,재고,서점 전화번호,위치
1번서점,0,총류,computer information,10000,2,043-123-4567,충청북도 청주시 흥덕구
2번인서점,1,철학,philosophy,8000,1,043-294-9188,충청북도 청주시 서원구
1번서점,2, 종교,religion,8500,4,043-123-4567,충청북도 청주시 흥덕구
3번이다서점,3,사회과학,social sciences,12000,5,043-483-8919,충청북도 청주시 서원구
4번이네서점,4,언어,language,6000,1,043-887-2912,충청북도 청주시 청원구
5번이군서점,5,자연과학,science,5000,3,043-991-8234,충청북도 청주시 상당구
5번이군서점,6,기술과학,technology,5000,3,043-991-8234,충청북도 청주시 상당구
5번이군서점,7,예술,arts & recreation,5000,3,043-991-8234,충청북도 청주시 상당구
5번이군서점,8,문학,literature,5000,3,043-991-8234,충청북도 청주시 상당구
5번이군서점,9,지리역사,history & geography,5000,3,043-991-8234,충청북도 청주시 상당구
